order_number;sku_id;quantity;price
2999000;20902;3;347
2999000;20978;2;300
2999000;56636;1;496
2999001;43369;1;17
2999002;20046;2;333
2999002;25309;3;106
2999002;27330;1;431
2999002;60265;1;83
2999002;67807;2;19
2999003;28135;6;449
2999003;29878;2;255
2999003;47860;3;323
2999004;56248;9;74
2999005;40345;3;382
2999006;20516;1;123
2999006;59464;1;172
2999006;59699;4;152
2999007;37087;1;145
2999007;43542;1;305
2999007;67779;2;344
2999008;38437;4;171
2999008;53197;3;367
2999009;55637;9;303
2999010;64393;3;29
2999011;23375;1;377
2999011;43959;3;384
2999012;44275;1;89
2999013;45397;7;220
2999013;63114;1;490
2999013;66406;1;80
2999014;24904;7;151
2999014;32083;1;249
2999014;44570;6;268
2999014;48485;5;193
2999014;63804;1;122
2999015;36683;2;342
2999015;42306;2;460
2999015;42818;3;370
2999015;55695;1;50
2999015;55707;2;131
2999016;67207;1;468
2999017;30285;9;322
2999018;29512;3;282
2999018;38241;4;448
2999019;24972;3;188
2999019;26146;1;357
2999020;43391;5;28
2999020;63085;3;57
2999021;22520;3;130
2999021;36739;1;440
2999022;35184;1;350
2999022;43655;1;196
2999022;48213;1;422
2999023;48799;3;466
2999023;61957;1;19
2999023;64655;1;387
2999023;64968;1;361
2999023;69439;1;415
2999024;43491;1;432
2999025;47439;2;149
2999026;36208;2;177
2999026;36480;1;46
2999026;46481;3;480
2999027;32118;3;467
2999027;36552;9;48
2999028;48010;6;243
2999028;56409;3;310
2999029;62678;3;444
2999030;21938;3;403
2999030;27742;4;243
2999030;44663;1;125
2999030;48269;2;143
2999031;32673;1;364
2999031;59305;3;293
2999032;36838;7;194
2999032;48700;1;55
2999033;44400;7;193
2999033;46263;5;371
2999033;57065;1;31
2999034;69095;3;183
2999035;25873;5;47
2999035;43276;3;450
2999035;45466;2;128
2999036;30948;2;329
2999036;37320;9;133
2999036;43659;1;227
2999036;60898;1;149
2999037;22320;2;393
2999037;32357;1;240
2999037;64932;3;391
2999038;24468;3;226
2999038;32047;3;187
2999038;35873;1;349
2999039;30899;1;488
2999040;27988;3;350
2999040;41379;1;320
2999040;58648;2;75
2999040;66299;1;334
2999041;48552;1;348
2999041;64315;3;263
2999041;66090;3;77
2999042;41728;1;482
2999042;49779;4;435
2999042;64722;9;227
2999043;32441;9;333
2999043;43178;3;50
2999043;46088;1;290
2999044;28851;1;260
2999044;39893;1;190
2999044;46252;3;264
2999044;66918;3;443
2999045;33436;2;109
2999045;40484;3;203
2999045;54031;3;315
2999045;55522;5;108
2999046;30162;2;483
2999047;27994;3;463
2999047;31511;3;209
2999047;40888;1;213
2999047;62629;3;173
2999047;64127;1;54
2999048;32011;2;158
2999049;26208;7;366
2999049;30579;1;320
2999049;30613;1;145
2999049;33147;3;273
2999049;45385;7;151
2999050;64835;3;172
2999051;47468;1;160
2999051;61634;2;200
2999051;67344;2;268
2999052;27448;6;417
2999052;29064;1;134
2999052;52628;1;184
2999052;54792;1;388
2999052;58100;2;272
2999053;50549;1;475
2999053;57663;3;126
2999053;64769;3;55
2999054;54922;3;498
2999054;67931;3;292
2999055;65422;2;299
2999056;24076;2;158
2999056;32250;1;23
2999057;25391;1;293
2999057;31555;8;387
2999057;45011;1;294
2999057;53323;2;186
2999057;68403;3;300
2999058;22311;1;70
2999058;35969;1;372
2999058;55853;1;347
2999058;64210;3;177
2999059;31792;2;314
2999059;56264;1;225
2999060;40137;2;349
2999060;47986;7;418
2999060;55145;2;218
2999060;57529;9;241
2999061;20444;2;403
2999061;25665;6;421
2999061;26975;3;100
2999061;32065;3;236
2999061;55871;2;143
2999062;30497;3;470
2999062;34980;2;266
2999062;43594;2;167
2999062;55602;2;258
2999062;65105;3;491
2999063;54261;3;26
2999063;58572;3;272
2999064;49976;2;347
2999064;54043;2;490
2999064;67497;3;280
2999065;33890;3;303
2999065;34715;2;88
2999066;28908;1;161
2999066;42922;1;97
2999066;50042;1;217
2999066;60175;1;260
2999067;64151;3;78
2999067;68765;1;240
2999068;44031;3;422
2999068;53785;2;335
2999068;54056;6;494
2999068;62747;3;225
2999068;64628;1;288
2999069;40391;3;197
2999069;45765;1;50
2999069;47847;2;119
2999070;23652;2;54
2999070;31284;1;192
2999070;43839;2;303
2999070;53770;3;328
2999070;55743;2;174
2999071;22822;3;45
2999071;27071;1;204
2999071;34004;1;292
2999072;35014;2;109
2999072;38488;3;115
2999072;39545;2;330
2999072;46637;3;376
2999072;49464;1;271
2999073;49833;3;117
2999074;31513;1;423
2999074;35480;3;154
2999074;37645;2;164
2999074;47285;2;297
2999074;50001;3;285
2999075;22280;8;285
2999075;24907;2;60
2999075;56218;3;59
2999076;21888;2;465
2999076;60718;3;105
2999076;60931;2;64
2999077;29521;2;380
2999077;31323;1;26
2999077;43030;1;222
2999077;64909;5;143
2999078;55661;1;478
2999078;62275;3;437
2999079;21662;3;136
2999079;21968;3;369
2999079;36039;3;50
2999079;47226;2;29
2999079;60834;3;386
2999080;29372;5;78
2999081;34493;2;468
2999081;50803;8;376
2999082;23430;1;353
2999082;46324;3;250
2999082;54115;6;275
2999082;56653;3;208
2999083;37783;3;60
2999083;64982;2;310
2999084;32666;9;141
2999084;41874;3;464
2999084;50502;5;180
2999084;65900;8;422
2999084;69208;6;423
2999085;24282;1;205
2999085;39430;3;218
2999085;56763;1;183
2999085;69720;4;217
2999086;32948;3;461
2999086;36529;3;205
2999086;69269;3;173
2999087;37165;1;431
2999087;44345;3;67
2999087;45634;3;450
2999087;48221;2;472
2999087;67044;2;124
2999088;52971;2;385
2999088;67051;1;51
2999089;33929;3;301
2999089;65996;3;179
2999089;68397;3;68
2999089;69163;2;165
2999090;21438;1;331
2999090;36330;3;363
2999090;67453;5;101
2999091;21485;2;328
2999091;34401;7;296
2999091;51384;3;340
2999091;51903;8;113
2999092;21149;9;83
2999092;23868;2;277
2999092;43766;2;171
2999092;59045;1;158
2999093;29154;3;63
2999093;32451;2;230
2999093;39701;1;241
2999093;52220;2;110
2999093;63430;5;86
2999094;26142;1;227
2999094;43633;1;276
2999095;44139;3;125
2999095;58879;2;360
2999096;32592;1;299
2999097;31402;1;209
2999097;31750;2;319
2999097;42868;8;190
2999097;46887;2;311
2999097;49914;1;418
2999098;65028;1;444
2999098;68743;7;144
2999099;25388;3;267
2999099;52140;3;29
2999099;57689;1;53
2999099;69069;1;376
2999100;30524;4;79
2999100;31095;3;245
2999100;65057;1;69
2999100;67202;2;280
2999101;30498;4;328
2999101;48067;3;390
2999102;33834;2;216
2999102;34987;6;149
2999103;54687;3;294
2999104;24046;1;399
2999104;42249;1;436
2999104;46331;3;280
2999104;55785;5;434
2999104;67077;3;119
2999105;28824;3;484
2999105;59207;3;157
2999106;64477;1;104
2999107;20207;2;133
2999107;21589;2;71
2999107;24673;5;210
2999107;62912;3;362
2999107;67846;2;395
2999108;43861;2;257
2999108;46632;3;235
2999108;54283;1;76
2999108;57832;1;184
2999108;67272;4;40
2999109;32846;4;339
2999109;33528;3;151
2999109;38084;2;389
2999109;43836;3;467
2999110;30455;1;169
2999110;41983;3;315
2999110;48786;2;236
2999110;54088;1;184
2999110;56727;1;100
2999111;33304;8;213
2999111;51321;3;181
2999112;40928;1;253
2999112;42447;7;207
2999113;21404;1;175
2999113;31440;6;310
2999113;53733;3;256
2999113;57531;2;281
2999114;51140;1;346
2999114;51894;7;271
2999114;64782;9;290
2999115;27660;2;419
2999115;30057;3;190
2999115;31143;5;171
2999115;40077;1;201
2999115;42263;3;199
2999116;31213;1;374
2999116;48733;6;205
2999116;52939;2;386
2999117;44595;1;180
2999118;24310;1;484
2999118;27073;3;134
2999118;64197;2;329
2999119;52923;3;165
2999119;56754;1;305
2999119;68116;3;347
2999120;30370;1;135
2999120;49900;8;268
2999120;51623;6;234
2999121;21960;5;248
2999121;22172;3;174
2999121;29208;1;251
2999121;42736;8;258
2999121;63963;3;75
2999122;30853;7;460
2999122;43580;1;338
2999123;41182;2;16
2999123;44494;1;497
2999123;58054;1;90
2999123;61631;3;388
2999124;20421;3;100
2999124;23768;3;497
2999124;40296;2;124
2999124;50666;1;336
2999125;27472;2;197
2999125;64247;9;462
2999126;35731;3;32
2999126;48505;4;391
2999126;56418;8;116
2999126;59629;2;326
2999127;22193;3;179
2999127;48516;2;293
2999127;52686;1;303
2999127;53783;7;317
2999128;20620;3;497
2999128;21054;7;267
2999128;25998;2;380
2999128;30559;2;265
2999128;49566;3;384
2999129;28464;3;467
2999129;42235;2;402
2999129;53880;6;41
2999129;69781;3;339
2999130;23804;1;242
2999130;42694;6;426
2999131;59389;2;469
2999131;62060;4;230
2999131;62816;3;280
2999132;26635;3;487
2999132;31462;2;68
2999132;51644;1;27
2999133;21662;2;136
2999134;25623;1;187
2999134;58423;2;427
2999134;63362;4;455
2999135;46156;3;469
2999135;60962;7;49
2999135;64418;2;254
2999136;37992;2;352
2999137;40564;3;332
2999138;25954;1;389
2999138;33384;3;29
2999138;41900;2;245
2999138;64430;2;309
2999139;28911;2;297
2999139;62577;3;114
2999140;33584;1;33
