sku_id;article_name;store_price;weight;height;width;length
20005;Microcid Tights;165;224;15;55;81
20016;Färgat Tandpasta;405;380;73;47;57
20028;Balans Fixer Trav-ler;423;168;69;99;92
20035;Nappy Jodopax;384;499;65;37;95
20044;Extradubb Foaming Nixacid;311;212;58;16;76
20046;Platinum White;333;257;93;41;54
20047;Ratiopharm Fotdeo;98;470;92;84;44
20070;Börlind Saltvattenschampo Kortärmad;181;233;32;11;13
20075;Dermo-pediatrics Healthy;309;492;14;24;92
20088;Recrea Passion;316;286;92;35;71
20089;Ocutears Densifying;453;61;39;19;75
20094;Latte Friggs Grande;118;308;75;90;13
20104;Fruit Fascinate;33;112;54;30;79
20111;Vanquin Oil-free;80;357;37;66;15
20114;Next Vitgrå Childrens;361;469;64;84;67
20134;Celiac Glutenintoleranstest Läppbalsam;78;377;35;39;12
20136;Babyvakt Pura;314;15;15;15;74
20160;Cashew Helps Rengöringsgel;409;379;63;43;41
20161;Fenazon Deltababy Firming;46;206;15;53;87
20164;Pain Rakblad;123;315;31;40;58
20171;Pjur Mäthylsor Lavender;112;199;14;43;76
20194;Varicex Storpack;200;225;78;15;67
20207;Munspegel Rektalsuspension;157;450;43;29;60
20245;Engångsfilter Kanin Klövervaselin;55;233;46;45;55
20258;Visibly Reseförpackning B-stress;353;217;32;10;76
20306;Blå Thermal;400;251;40;75;45
20326;Fickpack Highlighter Active;213;495;25;25;42
20375;Kick Apricot;343;148;46;60;39
20385;Teint C-brus Hydreane;128;45;56;53;19
20405;Plant Glutano;253;92;97;79;99
20421;X-hård Immuno;100;289;84;37;55
20424;Dryvery Filtringar;477;101;34;94;29
20429;Jordgubbssmak Pasta Pepsodent;364;329;28;33;89
20432;Lycq Enomdan Handgel;86;388;56;88;52
20444;Vclr Mentolmint;403;317;14;18;73
20451;Brush Pine Vibrator;492;394;63;13;85
20464;Solaire Fluoride Koncentrat;274;253;13;13;61
20490;Lypsyl Klimakteriebesvär Aptus;392;312;16;15;39
20516;Dosett Leatherette Choice;123;44;81;12;43
20530;People Hyderm;238;377;30;80;80
20535;Puderborste Waterproof;264;99;74;45;16
20563;Rakhyvel Waterproof Advance;477;476;43;59;45
20586;Tools Biocleanse;218;414;51;83;69
20590;Shampo Bioenergy;352;452;47;71;74
20598;Preserve Stioxyl;418;466;29;79;61
20602;Vårtmedel Ergoplati Värmande;295;329;74;42;54
20620;Frott Pro-long;497;133;90;86;33
20634;Proxident Fysiologiskt Snabbkaffe;359;476;98;29;45
20648;Tröja B-max Arnika;186;238;73;35;36
