sku_id;article_name;store_price;weight;height;width;length
20005;Microcid Tights;165.00;224;15;55;81
20016;Färgat Tandpasta;405.00;380;73;47;57
20028;Balans Fixer Trav-ler;423.00;168;69;99;92
20035;Nappy Jodopax;384.00;499;65;37;95
20044;Extradubb Foaming Nixacid;311.00;212;58;16;76
20046;Platinum White;333.00;257;93;41;54
20047;Ratiopharm Fotdeo;98.00;470;92;84;44
20070;Börlind Saltvattenschampo Kortärmad;181.00;233;32;11;13
20075;Dermo-pediatrics Healthy;309.00;492;14;24;92
20088;Recrea Passion;316.00;286;92;35;71
20089;Ocutears Densifying;453.00;61;39;19;75
20094;Latte Friggs Grande;118.00;308;75;90;13
20104;Fruit Fascinate;33.00;112;54;30;79
20111;Vanquin Oil-free;80.00;357;37;66;15
20114;Next Vitgrå Childrens;361.00;469;64;84;67
20134;Celiac Glutenintoleranstest Läppbalsam;78.00;377;35;39;12
20136;Babyvakt Pura;314.00;15;15;15;74
20160;Cashew Helps Rengöringsgel;409.00;379;63;43;41
20161;Fenazon Deltababy Firming;46.00;206;15;53;87
20164;Pain Rakblad;123.00;315;31;40;58
20171;Pjur Mäthylsor Lavender;112.00;199;14;43;76
20194;Varicex Storpack;200.00;225;78;15;67
20207;Munspegel Rektalsuspension;157.00;450;43;29;60
20245;Engångsfilter Kanin Klövervaselin;55.00;233;46;45;55
20258;Visibly Reseförpackning B-stress;353.00;217;32;10;76
20306;Blå Thermal;400.00;251;40;75;45
20326;Fickpack Highlighter Active;213.00;495;25;25;42
20375;Kick Apricot;343.00;148;46;60;39
20385;Teint C-brus Hydreane;128.00;45;56;53;19
20405;Plant Glutano;253.00;92;97;79;99
20421;X-hård Immuno;100.00;289;84;37;55
20424;Dryvery Filtringar;477.00;101;34;94;29
20429;Jordgubbssmak Pasta Pepsodent;364.00;329;28;33;89
20432;Lycq Enomdan Handgel;86.00;388;56;88;52
20444;Vclr Mentolmint;403.00;317;14;18;73
20451;Brush Pine Vibrator;492.00;394;63;13;85
20464;Solaire Fluoride Koncentrat;274.00;253;13;13;61
20490;Lypsyl Klimakteriebesvär Aptus;392.00;312;16;15;39
20516;Dosett Leatherette Choice;123.00;44;81;12;43
20530;People Hyderm;238.00;377;30;80;80
20535;Puderborste Waterproof;264.00;99;74;45;16
20563;Rakhyvel Waterproof Advance;477.00;476;43;59;45
20586;Tools Biocleanse;218.00;414;51;83;69
20590;Shampo Bioenergy;352.00;452;47;71;74
20598;Preserve Stioxyl;418.00;466;29;79;61
20602;Vårtmedel Ergoplati Värmande;295.00;329;74;42;54
20620;Frott Pro-long;497.00;133;90;86;33
20634;Proxident Fysiologiskt Snabbkaffe;359.00;476;98;29;45
20648;Tröja B-max Arnika;186.00;238;73;35;36
20656;Myrra Munsköljvätska Hylo-gel;140.00;92;59;45;29
20674;Change Jordan Cold;123.00;28;64;24;47
20688;Burana Expanding;191.00;340;49;60;38
20717;Plasthållare Mark;50.00;229;17;81;71
20735;Chocolate Nylon Duracell;290.00;149;44;61;63
20742;Secuvie Resetandborste Styvmorsviol;390.00;223;71;42;11
20777;Reconvalescent Maximum Veet;59.00;100;40;36;67
20796;Speedbox Glutenintoleranstest;486.00;332;36;52;52
20816;Resorb Mediumlarge Otinova;59.00;101;42;65;30
20826;Paracetamol Milt Thermagel;121.00;103;44;81;21
20841;Nagelförstärkare Angled Philips;165.00;263;41;56;29
20849;Refit Anti-perspirant;263.00;292;64;37;36
20863;Superskin Vi-siblin;385.00;448;93;30;45
20884;Lixir Cleaners Silk;63.00;351;24;34;18
20902;Aftershave Alvedon Aqua;408.00;419;79;91;18
20938;Magnesium Dauerbinda;212.00;297;50;26;53
20978;Strl Hylo-care;353.00;206;80;94;50
20996;Mega Vetegräs;495.00;424;57;58;30
21010;Manuka Khoisan;55.00;181;29;94;62
21050;Snigel Honung Perfectly;28.00;227;91;23;37
21054;Månader Spot-on Stick;267.00;214;61;67;83
21059;Fiber Uribalance Doskil;79.00;379;63;85;13
21060;Tandpasta Next Burk;426.00;223;13;22;17
21062;Cranberry Hydrokortison Sonett;287.00;89;92;67;42
21078;Alpha Floss;474.00;104;53;86;86
21118;Skötväska Swing Relinquish;280.00;53;31;81;69
21127;Japanese Hydrogel Spot-on;92.00;422;11;34;49
21129;Latte Pascoe Effective;384.00;144;38;77;97
21143;Always Danatekt Munhålegel;179.00;423;45;77;50
21149;Färgat Peach;83.00;141;44;93;33
21155;Swetex Intimtvål;155.00;274;65;36;51
21205;Hjälpen-kudde Crispy;482.00;308;55;54;75
21295;Anna Eliminating;293.00;369;25;70;25
21298;Toffee Magtabletter;443.00;325;44;47;62
